location,date,vaccine,total_vaccinations
United States,2021-08-11,Pfizer/BioNTech,198288731
United States,2021-08-12,Johnson&Johnson,13784136
United States,2021-08-12,Moderna,141011089
United States,2021-08-12,Pfizer/BioNTech,198736053
United States,2021-08-13,Johnson&Johnson,13823462
United States,2021-08-13,Moderna,141231218
United States,2021-08-13,Pfizer/BioNTech,199392855
United States,2021-08-14,Johnson&Johnson,13865764
United States,2021-08-14,Moderna,141484707
United States,2021-08-14,Pfizer/BioNTech,200086401
United States,2021-08-15,Johnson&Johnson,13892386
United States,2021-08-15,Moderna,141656626
United States,2021-08-15,Pfizer/BioNTech,200551649
United States,2021-08-16,Johnson&Johnson,13921901
United States,2021-08-16,Moderna,141882801
United States,2021-08-16,Pfizer/BioNTech,201153708
United States,2021-08-17,Johnson&Johnson,13940856
United States,2021-08-17,Moderna,142042199
United States,2021-08-17,Pfizer/BioNTech,201577973
United States,2021-08-18,Johnson&Johnson,13973354
United States,2021-08-18,Moderna,142239152
United States,2021-08-18,Pfizer/BioNTech,202051500
United States,2021-08-19,Johnson&Johnson,14011758
United States,2021-08-19,Moderna,142536887
United States,2021-08-19,Pfizer/BioNTech,202736783
United States,2021-08-20,Johnson&Johnson,14050126
United States,2021-08-20,Moderna,142827859
United States,2021-08-20,Pfizer/BioNTech,203416431
United States,2021-08-21,Johnson&Johnson,14099089
United States,2021-08-21,Moderna,143147929
United States,2021-08-21,Pfizer/BioNTech,204095863
United States,2021-08-22,Johnson&Johnson,14130274
United States,2021-08-22,Moderna,143433946
United States,2021-08-22,Pfizer/BioNTech,204750908
United States,2021-08-23,Johnson&Johnson,14144305
United States,2021-08-23,Moderna,143604049
United States,2021-08-23,Pfizer/BioNTech,205176686
United States,2021-08-24,Johnson&Johnson,14160458
United States,2021-08-24,Moderna,143785747
United States,2021-08-24,Pfizer/BioNTech,205626564
United States,2021-08-25,Johnson&Johnson,14195895
United States,2021-08-25,Moderna,144036513
United States,2021-08-25,Pfizer/BioNTech,206265542
United States,2021-08-26,Johnson&Johnson,14230266
United States,2021-08-26,Moderna,144290127
United States,2021-08-26,Pfizer/BioNTech,206901538
United States,2021-08-27,Johnson&Johnson,14265931
United States,2021-08-27,Moderna,144578104
United States,2021-08-27,Pfizer/BioNTech,207646621
United States,2021-08-28,Johnson&Johnson,14301768
United States,2021-08-28,Moderna,144863997
United States,2021-08-28,Pfizer/BioNTech,208396423
United States,2021-08-29,Johnson&Johnson,14330970
United States,2021-08-29,Moderna,145108915
United States,2021-08-29,Pfizer/BioNTech,209073174
United States,2021-08-30,Johnson&Johnson,14345660
United States,2021-08-30,Moderna,145280750
United States,2021-08-30,Pfizer/BioNTech,209579682
United States,2021-08-31,Johnson&Johnson,14358641
United States,2021-08-31,Moderna,145447491
United States,2021-08-31,Pfizer/BioNTech,210054512
United States,2021-09-01,Johnson&Johnson,14392613
United States,2021-09-01,Moderna,145736021
United States,2021-09-01,Pfizer/BioNTech,210798052
United States,2021-09-02,Johnson&Johnson,14420976
United States,2021-09-02,Moderna,145967563
United States,2021-09-02,Pfizer/BioNTech,211373074
United States,2021-09-03,Johnson&Johnson,14460971
United States,2021-09-03,Moderna,146379359
United States,2021-09-03,Pfizer/BioNTech,212319148
United States,2021-09-04,Johnson&Johnson,14492832
United States,2021-09-04,Moderna,146657321
United States,2021-09-04,Pfizer/BioNTech,212979842
United States,2021-09-07,Johnson&Johnson,14531824
United States,2021-09-07,Moderna,147054366
United States,2021-09-07,Pfizer/BioNTech,214049719
United States,2021-09-08,Johnson&Johnson,14553296
United States,2021-09-08,Moderna,147324654
United States,2021-09-08,Pfizer/BioNTech,214716553
United States,2021-09-09,Johnson&Johnson,14582801
United States,2021-09-09,Moderna,147523191
United States,2021-09-09,Pfizer/BioNTech,215153880
United States,2021-09-10,Johnson&Johnson,14613451
United States,2021-09-10,Moderna,147791051
United States,2021-09-10,Pfizer/BioNTech,215801105
United States,2021-09-11,Johnson&Johnson,14643267
United States,2021-09-11,Moderna,148045563
United States,2021-09-11,Pfizer/BioNTech,216417387
United States,2021-09-12,Johnson&Johnson,14667381
United States,2021-09-12,Moderna,148255720
United States,2021-09-12,Pfizer/BioNTech,216951668
United States,2021-09-13,Johnson&Johnson,14681798
United States,2021-09-13,Moderna,148418837
United States,2021-09-13,Pfizer/BioNTech,217363615
United States,2021-09-14,Johnson&Johnson,14696874
United States,2021-09-14,Moderna,148591187
United States,2021-09-14,Pfizer/BioNTech,217796918
United States,2021-09-15,Johnson&Johnson,14723114
United States,2021-09-15,Moderna,148847705
United States,2021-09-15,Pfizer/BioNTech,218353396
United States,2021-09-16,Johnson&Johnson,14750931
United States,2021-09-16,Moderna,149044965
United States,2021-09-16,Pfizer/BioNTech,218872070
United States,2021-09-17,Johnson&Johnson,14781084
United States,2021-09-17,Moderna,149319792
United States,2021-09-17,Pfizer/BioNTech,219521437
United States,2021-09-18,Johnson&Johnson,14812351
United States,2021-09-18,Moderna,149586411
United States,2021-09-18,Pfizer/BioNTech,220137971
United States,2021-09-19,Johnson&Johnson,14837004
United States,2021-09-19,Moderna,149772779
United States,2021-09-19,Pfizer/BioNTech,220600691
United States,2021-09-20,Johnson&Johnson,14850165
United States,2021-09-20,Moderna,149941346
United States,2021-09-20,Pfizer/BioNTech,221070020
United States,2021-09-21,Johnson&Johnson,14863714
United States,2021-09-21,Moderna,150094768
United States,2021-09-21,Pfizer/BioNTech,221445415
United States,2021-09-22,Moderna,150295981
United States,2021-09-22,Pfizer/BioNTech,221929245
United States,2021-09-23,Johnson&Johnson,14876579
United States,2021-09-23,Moderna,150415654
United States,2021-09-23,Pfizer/BioNTech,222148207
United States,2021-09-24,Johnson&Johnson,14900349
United States,2021-09-24,Moderna,150619059
United States,2021-09-24,Pfizer/BioNTech,222663971
United States,2021-09-25,Johnson&Johnson,14925576
United States,2021-09-25,Moderna,150832560
United States,2021-09-25,Pfizer/BioNTech,223228392
United States,2021-09-26,Johnson&Johnson,14942698
United States,2021-09-26,Moderna,151000534
United States,2021-09-26,Pfizer/BioNTech,223782867
United States,2021-09-27,Johnson&Johnson,14950507
United States,2021-09-27,Moderna,151102564
United States,2021-09-27,Pfizer/BioNTech,224223342
United States,2021-09-28,Johnson&Johnson,14954307
United States,2021-09-28,Moderna,151150063
United States,2021-09-28,Pfizer/BioNTech,224659347
United States,2021-09-29,Johnson&Johnson,14977044
United States,2021-09-29,Moderna,151310851
United States,2021-09-29,Pfizer/BioNTech,225313214
United States,2021-09-30,Johnson&Johnson,15000326
United States,2021-09-30,Moderna,151481614
United States,2021-09-30,Pfizer/BioNTech,226033301
United States,2021-10-01,Johnson&Johnson,15022960
United States,2021-10-01,Moderna,151622624
United States,2021-10-01,Pfizer/BioNTech,226714560
United States,2021-10-02,Johnson&Johnson,15047364
United States,2021-10-02,Moderna,151796711
United States,2021-10-02,Pfizer/BioNTech,227447588
United States,2021-10-03,Johnson&Johnson,15065673
United States,2021-10-03,Moderna,151965988
United States,2021-10-03,Pfizer/BioNTech,228504095
United States,2021-10-04,Johnson&Johnson,15073515
United States,2021-10-04,Moderna,152089746
United States,2021-10-04,Pfizer/BioNTech,229356695
United States,2021-10-05,Johnson&Johnson,15087687
United States,2021-10-05,Moderna,152207170
United States,2021-10-05,Pfizer/BioNTech,230023148
United States,2021-10-06,Johnson&Johnson,15107206
United States,2021-10-06,Moderna,152371218
United States,2021-10-06,Pfizer/BioNTech,230795097
United States,2021-10-07,Johnson&Johnson,15126616
United States,2021-10-07,Moderna,152505315
United States,2021-10-07,Pfizer/BioNTech,231516893
United States,2021-10-08,Johnson&Johnson,15145348
United States,2021-10-08,Moderna,152657055
United States,2021-10-08,Pfizer/BioNTech,232461866
United States,2021-10-09,Johnson&Johnson,15178784
United States,2021-10-09,Moderna,152840025
United States,2021-10-09,Pfizer/BioNTech,233393286
United States,2021-10-12,Johnson&Johnson,15208784
United States,2021-10-12,Moderna,153091886
United States,2021-10-12,Pfizer/BioNTech,234867451
United States,2021-10-13,Johnson&Johnson,15225611
United States,2021-10-13,Moderna,153216702
United States,2021-10-13,Pfizer/BioNTech,235518908
United States,2021-10-14,Johnson&Johnson,15250730
United States,2021-10-14,Moderna,153369108
United States,2021-10-14,Pfizer/BioNTech,236409595
United States,2021-10-15,Johnson&Johnson,15278936
United States,2021-10-15,Moderna,153548987
United States,2021-10-15,Pfizer/BioNTech,237325727
United States,2021-10-16,Johnson&Johnson,15298169
United States,2021-10-16,Moderna,153681390
United States,2021-10-16,Pfizer/BioNTech,238048239
United States,2021-10-17,Johnson&Johnson,15313732
United States,2021-10-17,Moderna,153795531
United States,2021-10-17,Pfizer/BioNTech,238736184
United States,2021-10-18,Johnson&Johnson,15322713
United States,2021-10-18,Moderna,153865158
United States,2021-10-18,Pfizer/BioNTech,239189084
United States,2021-10-19,Johnson&Johnson,15336709
United States,2021-10-19,Moderna,153970330
United States,2021-10-19,Pfizer/BioNTech,239709996
United States,2021-10-20,Johnson&Johnson,15353873
United States,2021-10-20,Moderna,154087303
United States,2021-10-20,Pfizer/BioNTech,240324759
United States,2021-10-21,Johnson&Johnson,15371265
United States,2021-10-21,Moderna,154219584
United States,2021-10-21,Pfizer/BioNTech,240994970
United States,2021-10-22,Johnson&Johnson,15393747
United States,2021-10-22,Moderna,154369262
United States,2021-10-22,Pfizer/BioNTech,241772516
United States,2021-10-23,Johnson&Johnson,15415408
United States,2021-10-23,Moderna,154526345
United States,2021-10-23,Pfizer/BioNTech,242485197
United States,2021-10-24,Johnson&Johnson,15432695
United States,2021-10-24,Moderna,154735646
United States,2021-10-24,Pfizer/BioNTech,243046759
United States,2021-10-25,Johnson&Johnson,15444234
United States,2021-10-25,Moderna,154980294
United States,2021-10-25,Pfizer/BioNTech,243447128
United States,2021-10-26,Johnson&Johnson,15457247
United States,2021-10-26,Moderna,155267673
United States,2021-10-26,Pfizer/BioNTech,243856565
United States,2021-10-27,Johnson&Johnson,15486250
United States,2021-10-27,Moderna,155799040
United States,2021-10-27,Pfizer/BioNTech,244436832
United States,2021-10-28,Johnson&Johnson,15521154
United States,2021-10-28,Moderna,156602727
United States,2021-10-28,Pfizer/BioNTech,245237611
United States,2021-10-29,Johnson&Johnson,15549336
United States,2021-10-29,Moderna,157205236
United States,2021-10-29,Pfizer/BioNTech,245831871
United States,2021-10-30,Johnson&Johnson,15594341
United States,2021-10-30,Moderna,158053763
United States,2021-10-30,Pfizer/BioNTech,246573186
United States,2021-10-31,Johnson&Johnson,15632926
United States,2021-10-31,Moderna,158772903
United States,2021-10-31,Pfizer/BioNTech,247226364
United States,2021-11-01,Johnson&Johnson,15657802
United States,2021-11-01,Moderna,159264439
United States,2021-11-01,Pfizer/BioNTech,247644758
United States,2021-11-02,Johnson&Johnson,15684476
United States,2021-11-02,Moderna,159747250
United States,2021-11-02,Pfizer/BioNTech,248071961
United States,2021-11-03,Johnson&Johnson,15725873
United States,2021-11-03,Moderna,160450092
United States,2021-11-03,Pfizer/BioNTech,248655677
United States,2021-11-04,Johnson&Johnson,15774846
United States,2021-11-04,Moderna,161206881
United States,2021-11-04,Pfizer/BioNTech,249302522
United States,2021-11-05,Johnson&Johnson,15827858
United States,2021-11-05,Moderna,161885137
United States,2021-11-05,Pfizer/BioNTech,249839661
United States,2021-11-06,Johnson&Johnson,15876019
United States,2021-11-06,Moderna,162648210
United States,2021-11-06,Pfizer/BioNTech,250435837
United States,2021-11-07,Johnson&Johnson,15917693
United States,2021-11-07,Moderna,163390613
United States,2021-11-07,Pfizer/BioNTech,251090534
United States,2021-11-08,Johnson&Johnson,15944839
United States,2021-11-08,Moderna,163930600
United States,2021-11-08,Pfizer/BioNTech,251645451
United States,2021-11-09,Johnson&Johnson,15973618
United States,2021-11-09,Moderna,164395658
United States,2021-11-09,Pfizer/BioNTech,252338508
United States,2021-11-10,Johnson&Johnson,16015198
United States,2021-11-10,Moderna,164985307
United States,2021-11-10,Pfizer/BioNTech,253035590
United States,2021-11-12,Johnson&Johnson,16094232
United States,2021-11-12,Moderna,166271061
United States,2021-11-12,Pfizer/BioNTech,254532491
United States,2021-11-13,Johnson&Johnson,16135268
United States,2021-11-13,Moderna,167010749
United States,2021-11-13,Pfizer/BioNTech,255432746
United States,2021-11-14,Johnson&Johnson,16169549
United States,2021-11-14,Moderna,167679443
United States,2021-11-14,Pfizer/BioNTech,256253584
United States,2021-11-15,Johnson&Johnson,16200158
United States,2021-11-15,Moderna,168242391
United States,2021-11-15,Pfizer/BioNTech,257105458
United States,2021-11-16,Johnson&Johnson,16233985
United States,2021-11-16,Moderna,168812041
United States,2021-11-16,Pfizer/BioNTech,257869920
United States,2021-11-17,Johnson&Johnson,16274660
United States,2021-11-17,Moderna,169412238
United States,2021-11-17,Pfizer/BioNTech,258642454
United States,2021-11-18,Johnson&Johnson,16312826
United States,2021-11-18,Moderna,170102986
United States,2021-11-18,Pfizer/BioNTech,259373312
United States,2021-11-19,Johnson&Johnson,16357570
United States,2021-11-19,Moderna,170858487
United States,2021-11-19,Pfizer/BioNTech,260476713
United States,2021-11-20,Johnson&Johnson,16405286
United States,2021-11-20,Moderna,171663254
United States,2021-11-20,Pfizer/BioNTech,261421616
United States,2021-11-21,Moderna,172316148
United States,2021-11-21,Pfizer/BioNTech,262228410
United States,2021-11-22,Pfizer/BioNTech,262914388
United States,2021-11-23,Johnson&Johnson,16435004
United States,2021-11-23,Moderna,172792190
United States,2021-11-23,Pfizer/BioNTech,263010518
United States,2021-11-24,Johnson&Johnson,16488220
United States,2021-11-24,Moderna,173461121
United States,2021-11-24,Pfizer/BioNTech,264025943
United States,2021-11-29,Johnson&Johnson,16597641
United States,2021-11-29,Moderna,175430932
United States,2021-11-29,Pfizer/BioNTech,266730650
United States,2021-11-30,Johnson&Johnson,16631251
United States,2021-11-30,Moderna,176026339
United States,2021-11-30,Pfizer/BioNTech,267639715
United States,2021-12-01,Johnson&Johnson,16671481
United States,2021-12-01,Moderna,176594175
United States,2021-12-01,Pfizer/BioNTech,268520407
United States,2021-12-02,Johnson&Johnson,16720690
United States,2021-12-02,Moderna,177388926
United States,2021-12-02,Pfizer/BioNTech,269856321
United States,2021-12-03,Johnson&Johnson,16770397
United States,2021-12-03,Moderna,178149886
United States,2021-12-03,Pfizer/BioNTech,270946361
United States,2021-12-04,Johnson&Johnson,16822204
United States,2021-12-04,Moderna,178978980
United States,2021-12-04,Pfizer/BioNTech,272232377
United States,2021-12-05,Johnson&Johnson,16863349
United States,2021-12-05,Moderna,179679243
United States,2021-12-05,Pfizer/BioNTech,273270797
United States,2021-12-06,Johnson&Johnson,16888006
United States,2021-12-06,Moderna,180171419
United States,2021-12-06,Pfizer/BioNTech,274156276
United States,2021-12-07,Johnson&Johnson,16918762
United States,2021-12-07,Moderna,180717034
United States,2021-12-07,Pfizer/BioNTech,275121905
United States,2021-12-08,Johnson&Johnson,16979979
United States,2021-12-08,Moderna,181774966
United States,2021-12-08,Pfizer/BioNTech,276485648
United States,2021-12-09,Johnson&Johnson,17020935
United States,2021-12-09,Moderna,182451675
United States,2021-12-09,Pfizer/BioNTech,277472166
United States,2021-12-10,Johnson&Johnson,17100985
United States,2021-12-10,Moderna,183628648
United States,2021-12-10,Pfizer/BioNTech,279344831
United States,2021-12-11,Johnson&Johnson,17152271
United States,2021-12-11,Moderna,184422633
United States,2021-12-11,Pfizer/BioNTech,280625893
United States,2021-12-12,Johnson&Johnson,17185562
United States,2021-12-12,Moderna,184989803
United States,2021-12-12,Pfizer/BioNTech,281519334
United States,2021-12-13,Johnson&Johnson,17206942
United States,2021-12-13,Moderna,185388911
United States,2021-12-13,Pfizer/BioNTech,282267391
United States,2021-12-14,Johnson&Johnson,17233475
United States,2021-12-14,Moderna,185831223
United States,2021-12-14,Pfizer/BioNTech,283012348
United States,2021-12-15,Johnson&Johnson,17272247
United States,2021-12-15,Moderna,186454785
United States,2021-12-15,Pfizer/BioNTech,284069934
United States,2021-12-16,Johnson&Johnson,17311789
United States,2021-12-16,Moderna,187111796
United States,2021-12-16,Pfizer/BioNTech,285106254
United States,2021-12-17,Johnson&Johnson,17355211
United States,2021-12-17,Moderna,187823886
United States,2021-12-17,Pfizer/BioNTech,286210683
United States,2021-12-18,Johnson&Johnson,17394753
United States,2021-12-18,Moderna,188491220
United States,2021-12-18,Pfizer/BioNTech,287241895
United States,2021-12-19,Johnson&Johnson,17422358
United States,2021-12-19,Moderna,189052448
United States,2021-12-19,Pfizer/BioNTech,288121540
United States,2021-12-20,Johnson&Johnson,17438700
United States,2021-12-20,Moderna,189469043
United States,2021-12-20,Pfizer/BioNTech,288825557
United States,2021-12-21,Johnson&Johnson,17454967
United States,2021-12-21,Moderna,189874761
United States,2021-12-21,Pfizer/BioNTech,289538081
United States,2021-12-22,Johnson&Johnson,17484608
United States,2021-12-22,Moderna,190503920
United States,2021-12-22,Pfizer/BioNTech,290516041
United States,2021-12-23,Johnson&Johnson,17501026
United States,2021-12-23,Moderna,190891698
United States,2021-12-23,Pfizer/BioNTech,291318945
United States,2021-12-27,Johnson&Johnson,17554817
United States,2021-12-27,Moderna,192130887
United States,2021-12-27,Pfizer/BioNTech,293282214
United States,2021-12-28,Johnson&Johnson,17576911
United States,2021-12-28,Moderna,192687290
United States,2021-12-28,Pfizer/BioNTech,294235928
United States,2021-12-29,Johnson&Johnson,17596594
United States,2021-12-29,Moderna,193162645
United States,2021-12-29,Pfizer/BioNTech,295020731
United States,2021-12-30,Johnson&Johnson,17613846
United States,2021-12-30,Moderna,193650993
United States,2021-12-30,Pfizer/BioNTech,295858234
United States,2022-01-04,Johnson&Johnson,17695795
United States,2022-01-04,Moderna,195491908
United States,2022-01-04,Pfizer/BioNTech,298939402
United States,2022-01-05,Johnson&Johnson,17716925
United States,2022-01-05,Moderna,195913748
United States,2022-01-05,Pfizer/BioNTech,299669968
United States,2022-01-06,Johnson&Johnson,17739932
United States,2022-01-06,Moderna,196396103
United States,2022-01-06,Pfizer/BioNTech,300486092
United States,2022-01-07,Johnson&Johnson,17766224
United States,2022-01-07,Moderna,196913814
United States,2022-01-07,Pfizer/BioNTech,301374353
United States,2022-01-08,Johnson&Johnson,17791472
United States,2022-01-08,Moderna,197421313
United States,2022-01-08,Pfizer/BioNTech,302264632
United States,2022-01-09,Johnson&Johnson,17813479
United States,2022-01-09,Moderna,197880486
United States,2022-01-09,Pfizer/BioNTech,303096481
United States,2022-01-10,Johnson&Johnson,17825224
United States,2022-01-10,Moderna,198147329
United States,2022-01-10,Pfizer/BioNTech,303648263
United States,2022-01-11,Johnson&Johnson,17840058
United States,2022-01-11,Moderna,198474153
United States,2022-01-11,Pfizer/BioNTech,304296783
United States,2022-01-12,Johnson&Johnson,17863666
United States,2022-01-12,Moderna,198923979
United States,2022-01-12,Pfizer/BioNTech,305145563
United States,2022-01-13,Johnson&Johnson,17898271
United States,2022-01-13,Moderna,199602389
United States,2022-01-13,Pfizer/BioNTech,306241653
United States,2022-01-14,Johnson&Johnson,17923089
United States,2022-01-14,Moderna,200069287
United States,2022-01-14,Pfizer/BioNTech,307152951
United States,2022-01-15,Johnson&Johnson,17946980
United States,2022-01-15,Moderna,200505745
United States,2022-01-15,Pfizer/BioNTech,307985354
United States,2022-01-18,Johnson&Johnson,17983383
United States,2022-01-18,Moderna,201270697
United States,2022-01-18,Pfizer/BioNTech,309550180
United States,2022-01-19,Johnson&Johnson,18002501
United States,2022-01-19,Moderna,201632233
United States,2022-01-19,Pfizer/BioNTech,310332802
United States,2022-01-20,Johnson&Johnson,18065529
United States,2022-01-20,Moderna,202127731
United States,2022-01-20,Pfizer/BioNTech,311207242
United States,2022-01-21,Johnson&Johnson,18083356
United States,2022-01-21,Moderna,202447054
United States,2022-01-21,Pfizer/BioNTech,311853421
United States,2022-01-22,Johnson&Johnson,18102634
United States,2022-01-22,Moderna,202786593
United States,2022-01-22,Pfizer/BioNTech,312558129
United States,2022-01-23,Johnson&Johnson,18114786
United States,2022-01-23,Moderna,203024478
United States,2022-01-23,Pfizer/BioNTech,313000963
United States,2022-01-24,Johnson&Johnson,18125164
United States,2022-01-24,Moderna,203235552
United States,2022-01-24,Pfizer/BioNTech,313477739
United States,2022-01-25,Pfizer/BioNTech,314236020
United States,2022-01-27,Johnson&Johnson,18128738
United States,2022-01-27,Moderna,203409636
United States,2022-01-27,Pfizer/BioNTech,314361546
United States,2022-01-28,Johnson&Johnson,18143188
United States,2022-01-28,Moderna,203671645
United States,2022-01-28,Pfizer/BioNTech,314951464
United States,2022-01-29,Johnson&Johnson,18158364
United States,2022-01-29,Moderna,203923765
United States,2022-01-29,Pfizer/BioNTech,315530213
United States,2022-01-30,Johnson&Johnson,18170391
United States,2022-01-30,Moderna,204143412
United States,2022-01-30,Pfizer/BioNTech,316041356
United States,2022-01-31,Johnson&Johnson,18177294
United States,2022-01-31,Moderna,204294985
United States,2022-01-31,Pfizer/BioNTech,316390082
United States,2022-02-01,Johnson&Johnson,18185440
United States,2022-02-01,Moderna,204454132
United States,2022-02-01,Pfizer/BioNTech,316805846
United States,2022-02-02,Johnson&Johnson,18198400
United States,2022-02-02,Moderna,204662169
United States,2022-02-02,Pfizer/BioNTech,317292439
United States,2022-02-03,Johnson&Johnson,18215099
United States,2022-02-03,Moderna,204895468
United States,2022-02-03,Pfizer/BioNTech,317821532
United States,2022-02-04,Johnson&Johnson,18224294
United States,2022-02-04,Moderna,205042012
United States,2022-02-04,Pfizer/BioNTech,318253687
United States,2022-02-05,Johnson&Johnson,18236540
United States,2022-02-05,Moderna,205249215
United States,2022-02-05,Pfizer/BioNTech,318708588
United States,2022-02-06,Johnson&Johnson,18246402
United States,2022-02-06,Moderna,205409451
United States,2022-02-06,Pfizer/BioNTech,319082480
United States,2022-02-07,Johnson&Johnson,18251579
United States,2022-02-07,Moderna,205513590
United States,2022-02-07,Pfizer/BioNTech,319372364
United States,2022-02-08,Johnson&Johnson,18258796
United States,2022-02-08,Moderna,205656808
United States,2022-02-08,Pfizer/BioNTech,319741177
United States,2022-02-09,Johnson&Johnson,18271861
United States,2022-02-09,Moderna,205846147
United States,2022-02-09,Pfizer/BioNTech,320170914
United States,2022-02-10,Johnson&Johnson,18283801
United States,2022-02-10,Moderna,206059690
United States,2022-02-10,Pfizer/BioNTech,320648278
United States,2022-02-11,Johnson&Johnson,18291136
United States,2022-02-11,Moderna,206210837
United States,2022-02-11,Pfizer/BioNTech,320993225
United States,2022-02-12,Johnson&Johnson,18303071
United States,2022-02-12,Moderna,206408407
United States,2022-02-12,Pfizer/BioNTech,321425596
United States,2022-02-13,Johnson&Johnson,18311163
United States,2022-02-13,Moderna,206546389
United States,2022-02-13,Pfizer/BioNTech,321764021
United States,2022-02-14,Johnson&Johnson,18315842
United States,2022-02-14,Moderna,206634275
United States,2022-02-14,Pfizer/BioNTech,322007571
United States,2022-02-15,Johnson&Johnson,18324679
United States,2022-02-15,Moderna,206773482
United States,2022-02-15,Pfizer/BioNTech,322361145
United States,2022-02-16,Johnson&Johnson,18333611
United States,2022-02-16,Moderna,206922312
United States,2022-02-16,Pfizer/BioNTech,322645077
United States,2022-02-17,Johnson&Johnson,18344998
United States,2022-02-17,Moderna,207086539
United States,2022-02-17,Pfizer/BioNTech,323010581
United States,2022-02-18,Johnson&Johnson,18356283
United States,2022-02-18,Moderna,207245487
United States,2022-02-18,Pfizer/BioNTech,323324047
United States,2022-02-19,Johnson&Johnson,18367598
United States,2022-02-19,Moderna,207402708
United States,2022-02-19,Pfizer/BioNTech,323674221
United States,2022-02-22,Johnson&Johnson,18382490
United States,2022-02-22,Moderna,207669266
United States,2022-02-22,Pfizer/BioNTech,324376921
United States,2022-02-23,Johnson&Johnson,18391970
United States,2022-02-23,Moderna,207794259
United States,2022-02-23,Pfizer/BioNTech,324688496
United States,2022-02-24,Johnson&Johnson,18400637
United States,2022-02-24,Moderna,207943834
United States,2022-02-24,Pfizer/BioNTech,325012738
United States,2022-02-25,Johnson&Johnson,18407172
United States,2022-02-25,Moderna,208030542
United States,2022-02-25,Pfizer/BioNTech,325087755
United States,2022-02-26,Johnson&Johnson,18429439
United States,2022-02-26,Moderna,208170728
United States,2022-02-26,Pfizer/BioNTech,325425139
United States,2022-02-28,Johnson&Johnson,18439105
United States,2022-02-28,Moderna,208322621
United States,2022-02-28,Pfizer/BioNTech,325815143
United States,2022-03-01,Johnson&Johnson,18443204
United States,2022-03-01,Moderna,208399875
United States,2022-03-01,Pfizer/BioNTech,326031904
United States,2022-03-02,Johnson&Johnson,18455620
United States,2022-03-02,Moderna,208524117
United States,2022-03-02,Pfizer/BioNTech,326294469
United States,2022-03-03,Johnson&Johnson,18462519
United States,2022-03-03,Moderna,208633913
United States,2022-03-03,Pfizer/BioNTech,326566951
United States,2022-03-04,Johnson&Johnson,18469549
United States,2022-03-04,Moderna,208751907
United States,2022-03-04,Pfizer/BioNTech,326804328
United States,2022-03-05,Johnson&Johnson,18476837
United States,2022-03-05,Moderna,208857265
United States,2022-03-05,Pfizer/BioNTech,327026546
United States,2022-03-06,Johnson&Johnson,18481200
United States,2022-03-06,Moderna,208926394
United States,2022-03-06,Pfizer/BioNTech,327196595
United States,2022-03-07,Johnson&Johnson,18484091
United States,2022-03-07,Moderna,208999627
United States,2022-03-07,Pfizer/BioNTech,327340259
United States,2022-03-08,Johnson&Johnson,18488808
United States,2022-03-08,Moderna,209072328
United States,2022-03-08,Pfizer/BioNTech,327525429
United States,2022-03-09,Johnson&Johnson,18495800
United States,2022-03-09,Moderna,209158440
United States,2022-03-09,Pfizer/BioNTech,327733589
United States,2022-03-10,Johnson&Johnson,18504711
United States,2022-03-10,Moderna,209255002
United States,2022-03-10,Pfizer/BioNTech,327981443
United States,2022-03-11,Johnson&Johnson,18505183
United States,2022-03-11,Moderna,209282354
United States,2022-03-11,Pfizer/BioNTech,328097533
United States,2022-03-12,Johnson&Johnson,18511808
United States,2022-03-12,Moderna,209384574
United States,2022-03-12,Pfizer/BioNTech,328367251
United States,2022-03-13,Johnson&Johnson,18516633
United States,2022-03-13,Moderna,209440962
United States,2022-03-13,Pfizer/BioNTech,328507974
United States,2022-03-14,Johnson&Johnson,18519052
United States,2022-03-14,Moderna,209481825
United States,2022-03-14,Pfizer/BioNTech,328622521
United States,2022-03-15,Moderna,209552990
United States,2022-03-15,Pfizer/BioNTech,328815528
United States,2022-03-16,Moderna,209620610
United States,2022-03-16,Pfizer/BioNTech,328978180
United States,2022-03-17,Moderna,209695291
United States,2022-03-17,Pfizer/BioNTech,329154571
United States,2022-03-18,Moderna,209762865
United States,2022-03-18,Pfizer/BioNTech,329298296
United States,2022-03-19,Moderna,209836197
United States,2022-03-19,Pfizer/BioNTech,329463476
United States,2022-03-20,Moderna,209886918
United States,2022-03-20,Pfizer/BioNTech,329586959
United States,2022-03-21,Pfizer/BioNTech,329682053
United States,2022-03-22,Johnson&Johnson,18520111
United States,2022-03-22,Moderna,209888388
United States,2022-03-22,Pfizer/BioNTech,329719828
United States,2022-03-23,Johnson&Johnson,18526124
United States,2022-03-23,Moderna,209962688
United States,2022-03-23,Pfizer/BioNTech,329907144
United States,2022-03-24,Johnson&Johnson,18542865
United States,2022-03-24,Moderna,210060559
United States,2022-03-24,Pfizer/BioNTech,330115030
United States,2022-03-25,Johnson&Johnson,18547119
United States,2022-03-25,Moderna,210121170
United States,2022-03-25,Pfizer/BioNTech,330243493
United States,2022-03-26,Johnson&Johnson,18553138
United States,2022-03-26,Moderna,210206085
United States,2022-03-26,Pfizer/BioNTech,330420307
United States,2022-03-27,Johnson&Johnson,18557893
United States,2022-03-27,Moderna,210254140
United States,2022-03-27,Pfizer/BioNTech,330534759
United States,2022-03-28,Johnson&Johnson,18559777
United States,2022-03-28,Moderna,210281861
